watershed name,cosmo-derived denudation rate* (m/MY),error,drainage area (m^2),mean hilltop curvature*** (radians),median hillslope length*** (m),mean slope** (degrees),mean slope** (radians),mean basin slope*** (radians),mean basin slope*** (degrees)
Rio Sabana (above KP),37.9,3.6,3081660,-0.1188420571,86,23.7613,0.414713,0.9049342857,51.848915
Rio Icacos (above KP),52.4,3.8,4130190,-0.127326871,87,21.6967,0.3786788518,0.756260957,43.330561
Rio Icacos (above KP),49.7,3.6,4130190,-0.127326871,87,21.6967,0.3786788518,0.756260957,43.330561
Rio Cubuy (above KP),76.8,7.3,3147950,-0.1764118094,102,25.1489,0.4389311083,1.096366094,62.81714999
Rio Cubuy (above KP),23.7,1.8,3147950,-0.1764118094,102,25.1489,0.4389311083,1.096366094,62.81714999
Rio Prieto (above KP),56.3,5.3,2042970,-0.1782850317,84,25.1432,0.4388316245,1.03978122,59.5750755
Rio Blanco,,,21531500,-0.02713799921,160,25.4679,0.4444987086,0.3662828571,20.98646182
Rio Espiritu Santu (above KP),72.7,2.9,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, ,