site ID,depth (cm),D10 (mm),D50 (mm),D90 (mm)
ES-A8,5,0.12,0.229,0.455
ES-A8,35,0.144,0.32,0.8
ES-A8,60,0.081,0.179,0.69
ES-A8,120,0.074,0.179,0.735
IC-B13,5,0.093,0.171,0.377
IC-B13,35,0.12,0.231,0.461
IC-B13,85,0.1,0.234,0.54
IC-B13,160,0.135,0.362,1.176
IC-A5,5,0.108,0.27,0.497
IC-A5,105,0.071,0.176,0.533
IC-A6,5,0.115,0.257,0.484
IC-A6,65,0.078,0.202,0.577
IC-A6,115,0.183,0.347,0.549
IC-A7,5,0.084,0.171,0.376
IC-A7,45,0.095,0.213,0.526
IC-A7,75,0.085,0.179,0.473
IC-A7,135,0.073,0.175,0.815
IC-A11,5,0.097,0.204,0.423
IC-A11,35,0.102,0.212,0.421
IC-A11,50,0.125,0.264,0.477
IC-A11,65,0.082,0.203,0.554
IC-A11,105,0.075,0.168,0.472
IC-A12,5,0.125,0.224,0.389
IC-A12,95,0.078,0.201,0.532
IC-A12,130,0.083,0.186,0.486
IC-A13,5,0.114,0.2,0.381
IC-A13,55,0.102,0.191,0.391
IC-A13,100,0.064,0.124,0.337
IC-A20,30,0.143,0.331,0.876
IC-A20,125,0.238,0.514,1.002
IC-A23,5,0.118,0.229,0.459
IC-A23,35,0.137,0.242,0.449
R191,5,0.093,0.288,0.658
R191,35,0.11,0.228,0.447
R191,70,0.125,0.268,0.514
R191,155,0.078,0.194,0.578
RB-B11,5,0.082,0.154,0.351
RB-B11,30,0.086,0.167,0.391
RB-B12,5,0.07,0.141,0.456
RB-B12,40,0.077,0.153,0.41
SAB-B4,5,0.116,0.286,0.635
SAB-B4,35,0.15,0.36,0.781
SAB-B4,65,0.198,0.489,1.396
SAB-B4,135,0.078,0.203,0.968
SAB-B11,20,0.124,0.258,0.623
SAB-B11,40,0.132,0.311,0.71
SAB-LL,25,0.174,0.375,0.73
SAB-LL,55,0.139,0.303,0.76
SAB-LL,100,0.159,0.361,0.805
SAB-LL,155,0.137,0.331,0.821
SAB-LL,170,0.135,0.318,0.967
SAB-LL,225,0.088,0.446,1.483